groups_Categorify,NA_argon,ts_month,TE_groups_Categorify,ts_day,crystal_supergroup_Categorify,CE_TE_groups_Categorify,ts_weekday,argon,place,NA_Unnamed_17,crystal_type_Categorify,super_hero_group_Categorify,TE_crystal_type_Categorify,expected_final_factor_x,chemical_x,first_factor_x,NA_chemical_x,target
6,0,9,94.60541681,7,2,31,0,-3.458910737,1,0,22,3,62.99903212,-0.039669496,15.85,0.097069015,0,-3.458910737
6,0,9,94.99028422,7,2,31,0,-0.00767111,1,0,16,3,101.6879756,-0.607000532,21.96666667,0.02190733,0,-0.011553165
6,0,9,94.70324314,7,2,31,0,-0.008595384,1,0,16,3,100.0558686,-0.606199356,21.16666667,0.55719393,0,-0.011738032
6,0,9,94.44330465,7,2,31,0,-0.010074252,1,0,16,3,99.41684897,-0.378400186,15.25,-0.293117202,0,-0.0119229
6,0,9,94.86316343,7,2,30,0,-0.0119229,1,0,22,3,62.37647329,0.060610025,20.56666667,0.192652381,0,-0.012107769
6,0,9,94.60541681,7,2,31,0,-0.012107769,1,0,16,2,100.3386224,0.391476595,32.01666667,0.912065549,0,-0.012292639
6,0,9,94.99028422,7,2,31,0,-0.009704531,1,0,16,2,101.6879756,-0.58824313,21.03333333,0.273488297,0,-0.01247751
6,0,9,94.70324314,7,2,31,0,-0.00637715,1,0,16,2,100.0558686,-0.532568388,15.85,-0.14944109,0,-0.012662382
6,0,9,94.44330465,7,2,31,0,-0.001201476,1,0,16,2,99.41684897,-0.502605461,21.83333333,0.292915788,0,-0.012847254
6,0,10,94.86316343,7,2,30,2,-0.001756005,1,0,16,2,100.1932702,-0.309716134,16.48333333,0.747365919,0,-0.013032128
6,0,10,94.60541681,7,2,31,2,0.193995551,1,0,22,2,62.99903212,1.029059514,25.38333333,0.72199693,0,-0.013217002
6,0,10,94.99028422,7,2,31,2,0.26950865,1,0,22,2,62.67048952,0.310326604,28.26666667,-0.264942577,0,-0.013401877
6,0,10,94.70324314,7,2,31,2,-0.002865065,1,0,22,2,62.61667475,0.897811911,16.81666667,1.139063219,0,-0.013586753
6,0,10,94.44330465,7,2,31,2,-0.001016634,1,0,22,3,61.98081472,0.080487495,22.7,1.151413394,0,-0.011368298
6,0,10,94.86316343,7,2,30,2,-0.00452867,1,0,22,3,62.37647329,0.0061923,14.96666667,-0.023756718,0,-0.01377163
6,0,10,94.60541681,7,2,31,2,-0.004713516,1,0,22,3,62.99903212,1.534164491,20.2,0.992603973,0,-0.014141387
6,0,10,94.99028422,7,2,31,2,-0.00508321,1,0,22,3,62.67048952,0.326898858,16.26666667,0.232885061,0,-0.014326267
6,0,10,94.70324314,7,2,31,2,-0.005268057,1,0,22,3,62.61667475,0.549911486,16.13333333,0.621829638,0,-0.014511148
6,0,10,94.44330465,7,2,31,2,-0.0061923,1,0,22,3,61.98081472,0.549411401,16.16666667,0.938164371,0,-0.014696029
6,0,10,94.86316343,7,2,30,2,-0.022092261,1,0,22,3,62.37647329,0.006007451,19.03333333,0.231714514,0,-0.014880912
6,0,10,94.60541681,7,2,31,2,-0.02246213,1,0,22,3,62.99903212,-0.158147403,22.35,0.344068749,0,-0.015065796
6,0,10,94.99028422,7,2,31,2,-0.023016944,1,0,22,2,62.67048952,0.005822602,23.21666667,0.26950865,0,-0.015250681
6,0,11,94.70324314,7,2,31,5,0.200144762,1,0,22,2,62.61667475,0.07156357,17.61666667,-0.454718403,0,-0.015435567
6,0,11,94.44330465,7,2,31,5,-0.015990231,1,0,22,2,61.98081472,-0.124015159,24.18333333,1.107094894,0,-0.015620454
6,0,11,94.86316343,7,2,30,5,0.278475084,1,0,22,2,62.37647329,-0.127395318,31.1,-0.062836602,0,-0.015805342
6,0,11,94.60541681,7,2,31,5,0.552416051,1,0,22,4,62.99903212,0.956299564,30.86666667,-0.11520233,0,-0.015990231
6,0,11,94.99028422,7,2,31,5,-0.000462106,1,0,22,4,62.67048952,0.565298952,19.81666667,0.536750528,0,-0.016175121
6,0,11,94.70324314,7,2,31,5,0.015990231,1,0,22,4,62.61667475,-0.186329558,22.26666667,0.542686909,0,-0.013956508
6,0,11,94.44330465,7,2,31,5,0.015805342,1,0,22,4,61.98081472,-0.310326604,29.48333333,1.058736409,0,-0.016360013
6,0,11,94.86316343,7,2,30,5,0.016544905,1,0,22,4,62.37647329,-0.192076949,23.21666667,0.899469887,0,-0.011183432
6,0,11,94.60541681,7,2,31,5,0.013956508,1,0,22,4,62.99903212,-0.19322794,20.63333333,1.178705333,0,-0.010813702
6,0,11,94.99028422,7,2,31,5,0.012847254,1,0,22,4,62.67048952,-0.191885167,27.65,0.238943146,0,-0.006007451
6,0,11,94.70324314,7,2,31,5,0.0119229,1,0,22,4,62.61667475,-0.006562,27.6,0.78083777,0,-0.0061923
6,0,11,94.44330465,7,2,31,5,0.059125976,1,0,22,3,61.98081472,0.792160752,14.68333333,-0.341781747,0,-0.00637715
6,0,11,94.86316343,7,2,30,5,0.022092261,1,0,22,3,62.37647329,0.145285277,17.6,0.162319701,0,-0.006562
6,0,11,94.60541681,7,2,31,5,0.021722399,1,0,22,3,62.99903212,-0.012662382,17.78333333,-0.116701085,0,-0.00674685
6,0,12,94.99028422,7,2,31,0,0.020797769,1,0,22,3,62.67048952,0.063764525,33.13333333,0.618571019,0,-0.006931701
6,0,12,94.70324314,7,2,31,0,0.019873175,1,0,22,3,62.61667475,0.600082658,14.65,1.234140294,0,-0.007116553
6,0,12,94.44330465,7,2,31,0,0.017839185,1,0,22,3,61.98081472,-0.012292639,15.51666667,-0.273687506,0,-0.007301405
6,0,12,94.86316343,7,2,30,0,0.017469384,1,0,22,3,62.37647329,0.413648042,20.81666667,0.420687392,0,-0.007486257
6,0,12,94.60541681,7,2,31,0,0.010813702,1,0,22,4,62.99903212,-0.099495291,17.36666667,-0.380748554,0,-0.00767111
6,0,12,94.99028422,7,2,31,0,0.003974133,1,0,22,4,62.67048952,0.063022178,26.68333333,0.677069655,0,-0.007855964
6,0,12,94.70324314,7,2,31,0,0.003419598,1,0,22,4,62.61667475,-0.097628822,24.65,0.342820849,0,-0.008040818
6,0,12,94.44330465,7,2,31,0,0.713642017,1,0,22,4,61.98081472,0.402730221,46.33333333,-0.224704425,0,-0.010998567
6,0,12,94.86316343,7,2,30,0,0.002680221,1,0,6,4,92.86752385,0.470285753,19.66666667,1.596191981,0,-0.008225673
6,0,12,94.60541681,7,2,31,0,0.002310534,1,0,6,4,92.54303806,-0.31992125,19.26666667,0.985231505,0,-0.008595384
6,0,12,94.99028422,7,2,31,0,0.002125691,1,0,6,4,92.92346631,-0.377760447,17.95,1.456480032,0,-0.00878024
6,0,12,94.70324314,7,2,31,0,0.001756005,1,0,6,4,92.03736542,-0.377334126,17.45,1.233293413,0,-0.008965097
6,0,12,94.44330465,7,2,31,0,0.001571162,1,0,6,3,92.93405249,-0.32033083,11.51666667,0.49927953,0,-0.009149955
6,0,7,94.86316343,13,2,30,0,0.000831791,1,0,6,3,92.86752385,-0.400341221,21.26666667,0.379680595,0,-0.009334813
6,0,7,94.60541681,13,2,31,0,0.000646949,1,0,6,3,92.54303806,0.469824659,15.83333333,0.942190905,0,-0.009519672
6,0,7,94.99028422,13,2,31,0,-0.000277264,1,0,6,3,92.92346631,-0.321970225,22.65,0.035041974,0,-0.009704531
6,0,7,94.70324314,13,2,31,0,0.004898363,1,0,6,5,92.03736542,0.068777247,19.31666667,0.918473338,0,-0.009889391
6,0,7,94.44330465,13,2,31,0,0.626468756,1,0,6,5,92.93405249,-0.265140871,29.01666667,1.478780489,0,-0.010074252
6,0,7,94.86316343,13,2,30,0,0.127395318,1,0,74,5,103.0315412,0.706602664,23.35,1.941103714,0,-0.010259114
6,0,7,94.60541681,13,2,31,0,0.287486522,1,0,74,5,98.38084375,-0.265339186,25.61666667,1.016952673,0,-0.010443976
6,0,7,94.99028422,13,2,31,0,1.177964351,1,0,74,5,101.2949392,0.671535872,38.41666667,-0.418042785,0,-0.010628839
6,0,7,94.70324314,13,2,31,0,0.966547937,1,0,74,5,100.1802585,0.436010315,59.31666667,1.351871375,0,-0.008410528
6,0,7,94.44330465,13,2,31,0,0.364184993,1,0,56,4,99.40784842,0.43288495,43.36666667,0.349071133,0,-0.005822602
6,0,7,94.86316343,14,2,30,1,0.00767111,1,0,56,4,97.25021055,-0.107155209,19.56666667,0.900300733,0,-0.016544905
6,0,7,94.60541681,14,2,31,1,0.007116553,1,0,56,4,96.24725808,-0.113704093,25.36666667,1.508002848,0,-0.016914693
6,0,7,94.99028422,14,2,31,1,0.00674685,1,0,56,4,96.40229545,-0.276478721,23.1,0.701142076,0,-0.196107665
6,0,7,94.70324314,14,2,31,1,0.005637753,1,0,56,4,97.96701333,0.250915776,32.8,1.244443771,0,-0.196299762
6,0,7,94.44330465,14,2,31,1,-0.055973228,1,0,50,5,99.96566,0.934168031,27.08333333,1.429782787,0,-0.196491873
6,0,7,94.86316343,14,2,30,1,-0.056529513,1,0,50,5,93.7572465,0.245607743,18.6,1.470647334,0,-0.196683999
6,0,7,94.60541681,14,2,31,1,0.314198314,1,0,50,5,93.89668348,-0.107529178,17.78333333,-0.850964715,0,-0.196876139
6,0,7,94.99028422,14,2,31,1,-0.057456732,1,0,50,5,94.54535437,-0.151142676,12.73333333,0.673278927,0,-0.197068294
6,0,7,94.70324314,14,2,31,1,0.677069655,1,0,50,5,94.8969433,0.47676225,23.45,-0.763391116,0,-0.197260463
6,0,7,94.44330465,14,2,31,1,-0.057827647,1,0,50,5,99.96566,-0.091660626,15.4,-0.097815438,0,-0.219267396
6,0,7,94.86316343,14,2,30,1,-0.05838405,1,0,50,5,93.7572465,0.692729962,16.5,1.019036812,0,-0.21946135
6,0,7,94.60541681,14,2,31,1,-0.048188722,1,0,53,4,101.926573,0.693028705,21.73333333,0.728565548,0,-0.219655321
6,0,7,94.99028422,14,2,31,1,0.699632651,1,0,53,4,98.96495323,0.258805698,23.08333333,0.163458576,0,-0.219849309
6,0,7,94.70324314,15,2,31,2,-0.049115124,1,0,53,4,101.6567128,0.019133524,22.95,0.784931938,0,-0.220043313
6,0,7,94.44330465,15,2,31,2,-0.049856307,1,0,53,4,103.2381434,0.170300848,21.56666667,0.451767453,0,-0.195915582
6,0,7,94.86316343,15,2,30,2,0.465224638,1,0,15,2,95.07665187,0.797026323,21,0.187669501,0,-0.220237334
6,0,7,94.60541681,15,2,31,2,1.342787791,1,0,15,2,93.70233088,-0.374353704,47.51666667,-1.403652257,0,-0.220625425
6,0,7,94.99028422,15,2,31,2,-0.052450882,1,0,15,2,93.14568672,-0.0963227,26.71666667,0.374353704,0,-0.220819496
6,0,7,94.70324314,15,2,31,2,0.373928473,1,0,15,2,93.906236,0.708432248,19.61666667,-0.138307179,0,-0.221013583
6,0,7,94.44330465,15,2,31,2,0.098561971,1,0,15,5,96.4095799,-0.276079713,13.18333333,0.16364843,0,-0.221207687
6,0,7,94.86316343,15,2,30,2,0.276279206,1,0,15,5,95.07665187,0.53773729,16.45,-0.328545259,0,-0.221401808
6,0,7,94.60541681,16,2,31,3,-0.059125976,1,0,15,5,93.70233088,0.24521511,13.16666667,0.335562512,0,-0.221595945
6,0,7,94.99028422,16,2,31,3,-0.066548959,1,0,15,5,93.14568672,0.540208791,14.9,0.335148823,0,-0.221790099
6,0,7,94.70324314,16,2,31,3,0.127207456,1,0,53,5,101.6567128,0.774745145,18.76666667,1.019559232,0,-0.22198427
6,0,7,94.44330465,16,2,31,3,0.570402499,1,0,53,2,103.2381434,-0.149063078,26.46666667,-0.110522023,0,-0.222178457
