NA_argon,groups_Categorify,CE_TE_groups_Categorify,ts_day,Cycle_Categorify,ts_month,crystal_supergroup_Categorify,TE_groups_Categorify,ts_weekday,argon,TE_Cycle_Categorify,crystal_type_Categorify,super_hero_group_Categorify,TE_crystal_type_Categorify,expected_final_factor_x,chemical_x,Unnamed_17,NA_Unnamed_17,NA_chemical_x
0,6,31,7,3,9,2,94.60541680504502,0,-3.4589107372754997,93.34573243852745,22,3,62.99903212171901,-0.03966949559264268,15.85,0.09706901491372258,0,0
0,6,31,7,3,9,2,94.99028422220128,0,-0.00767111040313324,93.26119072032759,16,3,101.6879756226292,-0.6070005315065657,21.96666667,0.021907329520280235,0,0
0,6,31,7,3,9,2,94.70324314245363,0,-0.00859538364761108,93.15123991856626,16,3,100.05586862982513,-0.6061993564997686,21.16666667,0.5571939300043576,0,0
0,6,31,7,3,9,2,94.44330464579241,0,-0.010074252042804462,93.17232502667328,16,3,99.41684896660287,-0.37840018608579107,15.25,-0.293117202041276,0,0
0,6,30,7,3,9,2,94.86316342982487,0,-0.011922900264716856,93.18869600213468,22,3,62.3764732857476,0.06061002541261103,20.56666667,0.19265238088277392,0,0
0,6,31,7,3,9,2,94.60541680504502,0,-0.012107769360610211,93.34573243852745,16,2,100.338622357604,0.3914765953866364,32.01666667,0.9120655486208531,0,0
0,6,31,7,3,9,2,94.99028422220128,0,-0.009704531065502755,93.26119072032759,16,2,101.6879756226292,-0.5882431296345816,21.03333333,0.27348829723396084,0,0
0,6,31,7,3,9,2,94.70324314245363,0,-0.006377149525796345,93.15123991856626,16,2,100.05586862982513,-0.5325683881644381,15.85,-0.1494410899256855,0,0
0,6,31,7,3,9,2,94.44330464579241,0,-0.0012014762305304987,93.17232502667328,16,2,99.41684896660287,-0.5026054610408386,21.83333333,0.2929157880832428,0,0
0,6,30,7,3,10,2,94.86316342982487,2,-0.0017560046814971543,93.18869600213468,16,2,100.19327021039783,-0.30971613441000456,16.48333333,0.7473659187553686,0,0
0,6,31,7,3,10,2,94.60541680504502,2,0.19399555126821427,93.34573243852745,22,2,62.99903212171901,1.0290595144700165,25.38333333,0.7219969302660912,0,0
0,6,31,7,3,10,2,94.99028422220128,2,0.26950865010324426,93.26119072032759,22,2,62.67048951592464,0.31032660442507765,28.26666667,-0.2649425769535957,0,0
0,6,31,7,3,10,2,94.70324314245363,2,-0.002865065164329889,93.15123991856626,22,2,62.61667475365656,0.8978119107191632,16.81666667,1.1390632187744063,0,0
0,6,31,7,3,10,2,94.44330464579241,2,-0.0010166335945854513,93.17232502667328,22,3,61.98081472073217,0.08048749472052336,22.7,1.1514133938650786,0,0
0,6,30,7,3,10,2,94.86316342982487,2,-0.00452866995659933,93.18869600213468,22,3,62.3764732857476,0.006192299816202065,14.96666667,-0.023756717964555994,0,0
0,6,31,7,3,10,2,94.60541680504502,2,-0.004713516312447144,93.34573243852745,22,3,62.99903212171901,1.5341644914146755,20.2,0.9926039729981474,0,0
0,6,31,7,3,10,2,94.99028422220128,2,-0.00508321000309104,93.26119072032759,22,3,62.67048951592464,0.3268988576050156,16.26666667,0.23288506138865825,0,0
0,6,31,7,3,10,2,94.70324314245363,2,-0.005268057363153199,93.15123991856626,22,3,62.61667475365656,0.5499114863222307,16.13333333,0.6218296380228218,0,0
0,6,31,7,3,10,2,94.44330464579241,2,-0.006192299816202164,93.17232502667328,22,3,61.98081472073217,0.5494114011115561,16.16666667,0.938164371019437,0,0
0,6,30,7,3,10,2,94.86316342982487,2,-0.022092261412583553,93.18869600213468,22,3,62.3764732857476,0.006007450529781448,19.03333333,0.23171451446312025,0,0
