groups_Categorify,NA_argon,ts_month,place,TE_groups_Categorify,ts_weekday,crystal_type_Categorify,tracking,TE_crystal_type_Categorify,argon,crystal_supergroup_Categorify,CE_TE_groups_Categorify,Cycle_Categorify,super_hero_group_Categorify,NA_first_factor_x,TE_Cycle_Categorify,expected_final_factor_x,chemical_x,first_factor_x,NA_chemical_x
6,0,9,1,94.60541680504502,0,22,84921,62.99903212171901,-3.4589107372754997,2,31,3,3,0,93.34573243852745,-0.03966949559264268,15.85,0.09706901491372258,0
6,0,9,1,94.99028422220128,0,16,84941,101.6879756226292,-0.00767111040313324,2,31,3,3,0,93.26119072032759,-0.6070005315065657,21.96666667,0.021907329520280235,0
6,0,9,1,94.70324314245363,0,16,84951,100.05586862982513,-0.00859538364761108,2,31,3,3,0,93.15123991856626,-0.6061993564997686,21.16666667,0.5571939300043576,0
6,0,9,1,94.44330464579241,0,16,84971,99.41684896660287,-0.010074252042804462,2,31,3,3,0,93.17232502667328,-0.37840018608579107,15.25,-0.293117202041276,0
6,0,9,1,94.86316342982487,0,22,84981,62.3764732857476,-0.011922900264716856,2,30,3,3,0,93.18869600213468,0.06061002541261103,20.56666667,0.19265238088277392,0
6,0,9,1,94.60541680504502,0,16,84991,100.338622357604,-0.012107769360610211,2,31,3,2,0,93.34573243852745,0.3914765953866364,32.01666667,0.9120655486208531,0
6,0,9,1,94.99028422220128,0,16,85001,101.6879756226292,-0.009704531065502755,2,31,3,2,0,93.26119072032759,-0.5882431296345816,21.03333333,0.27348829723396084,0
6,0,9,1,94.70324314245363,0,16,85011,100.05586862982513,-0.006377149525796345,2,31,3,2,0,93.15123991856626,-0.5325683881644381,15.85,-0.1494410899256855,0
6,0,9,1,94.44330464579241,0,16,85021,99.41684896660287,-0.0012014762305304987,2,31,3,2,0,93.17232502667328,-0.5026054610408386,21.83333333,0.2929157880832428,0
6,0,10,1,94.86316342982487,2,16,85031,100.19327021039783,-0.0017560046814971543,2,30,3,2,0,93.18869600213468,-0.30971613441000456,16.48333333,0.7473659187553686,0
6,0,10,1,94.60541680504502,2,22,85071,62.99903212171901,0.19399555126821427,2,31,3,2,0,93.34573243852745,1.0290595144700165,25.38333333,0.7219969302660912,0
6,0,10,1,94.99028422220128,2,22,85081,62.67048951592464,0.26950865010324426,2,31,3,2,0,93.26119072032759,0.31032660442507765,28.26666667,-0.2649425769535957,0
